"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2021","4,119.50","4,098.00","4,121.50","4,081.00","1.09M","0.75%"
"04/08/2021","4,089.00","4,074.25","4,098.50","4,072.50","988.35K","0.47%"
"04/07/2021","4,070.00","4,067.00","4,075.50","4,056.50","1.10M","0.15%"
"04/06/2021","4,064.00","4,069.75","4,076.00","4,052.25","1.25M","-0.09%"
"04/05/2021","4,067.75","4,030.00","4,073.75","4,021.00","1.25M","0.00%"
"04/02/2021","4,067.75","4,014.50","4,038.00","4,012.50","64.75K","1.44%"
"04/01/2021","4,010.00","3,967.50","4,015.25","3,964.50","1.25M","1.07%"
"03/31/2021","3,967.50","3,949.50","3,983.75","3,941.50","1.64M","0.50%"
"03/30/2021","3,947.75","3,965.25","3,968.50","3,933.75","1.59M","-0.28%"
"03/29/2021","3,959.00","3,962.25","3,971.25","3,928.75","2.00M","-0.15%"
"03/26/2021","3,964.75","3,907.50","3,968.00","3,900.75","1.98M","1.65%"
"03/25/2021","3,900.50","3,882.75","3,909.50","3,843.25","2.28M","0.51%"
"03/24/2021","3,880.75","3,905.75","3,931.50","3,877.50","2.06M","-0.49%"
"03/23/2021","3,899.75","3,933.25","3,938.75","3,890.50","1.88M","-0.77%"
"03/22/2021","3,930.00","3,893.50","3,944.50","3,885.00","1.33M","0.44%"
"03/19/2021","3,912.62","3,923.75","3,934.25","3,908.00","38.58K","-0.10%"
"03/18/2021","3,916.50","3,972.00","3,988.75","3,911.00","335.44K","-1.45%"
"03/17/2021","3,974.00","3,967.50","3,983.75","3,935.25","520.41K","0.29%"
"03/16/2021","3,962.50","3,967.00","3,980.50","3,952.75","887.25K","-0.13%"
"03/15/2021","3,967.50","3,945.75","3,969.75","3,922.25","1.30M","0.64%"
"03/12/2021","3,942.25","3,937.50","3,947.50","3,910.25","1.45M","0.14%"
"03/11/2021","3,936.75","3,907.75","3,958.50","3,893.00","1.60M","1.03%"
"03/10/2021","3,896.50","3,878.50","3,916.25","3,856.25","1.85M","0.60%"
"03/09/2021","3,873.25","3,831.25","3,901.25","3,826.25","1.70M","1.41%"
"03/08/2021","3,819.25","3,854.75","3,878.75","3,796.25","2.20M","-0.51%"
"03/05/2021","3,839.00","3,765.50","3,850.00","3,728.50","2.95M","1.95%"
"03/04/2021","3,765.50","3,818.00","3,842.25","3,720.50","3.19M","-1.34%"
"03/03/2021","3,816.75","3,867.50","3,898.00","3,813.00","2.20M","-1.31%"
"03/02/2021","3,867.50","3,903.25","3,906.50","3,865.50","1.64M","-0.80%"
"03/01/2021","3,898.75","3,817.25","3,912.00","3,812.50","1.69M","2.35%"
"02/26/2021","3,809.25","3,823.25","3,858.50","3,785.00","3.01M","-0.49%"
"02/25/2021","3,828.00","3,923.50","3,934.50","3,810.25","2.86M","-2.41%"
"02/24/2021","3,922.50","3,876.25","3,927.75","3,851.75","1.94M","1.15%"
"02/23/2021","3,878.00","3,878.00","3,896.00","3,804.75","2.28M","0.12%"
"02/22/2021","3,873.50","3,905.50","3,914.50","3,861.25","1.51M","-0.76%"
"02/19/2021","3,903.00","3,910.50","3,931.00","3,890.25","1.43M","-0.17%"
"02/18/2021","3,909.50","3,928.25","3,936.00","3,880.50","1.54M","-0.47%"
"02/17/2021","3,928.00","3,929.00","3,932.25","3,896.50","1.38M","0.01%"
"02/16/2021","3,927.75","3,936.50","3,959.25","3,918.75","1.45M","-0.50%"
"02/15/2021","3,947.38","3,936.38","3,951.88","3,935.88","","0.28%"
"02/14/2021","3,936.38","3,935.50","3,939.88","3,935.50","","0.14%"
"02/12/2021","3,931.00","3,905.25","3,936.25","3,890.25","1.05M","0.49%"
"02/11/2021","3,912.00","3,907.00","3,920.50","3,884.50","1.30M","0.23%"
"02/10/2021","3,903.00","3,912.25","3,928.50","3,878.25","1.56M","-0.06%"
"02/09/2021","3,905.50","3,910.50","3,913.25","3,895.00","881.92K","-0.06%"
"02/08/2021","3,908.00","3,889.00","3,911.25","3,885.50","972.44K","0.72%"
"02/05/2021","3,880.25","3,864.25","3,888.25","3,860.00","1.14M","0.41%"
"02/04/2021","3,864.50","3,832.75","3,869.75","3,811.25","1.14M","1.07%"
"02/03/2021","3,823.50","3,829.50","3,843.50","3,807.75","1.29M","0.14%"
"02/02/2021","3,818.25","3,764.75","3,835.75","3,760.00","1.42M","1.39%"
"02/01/2021","3,765.75","3,692.25","3,777.00","3,656.50","1.69M","1.63%"
"01/29/2021","3,705.25","3,770.25","3,777.25","3,685.50","2.69M","-1.96%"
"01/28/2021","3,779.25","3,735.25","3,823.50","3,703.50","2.15M","0.93%"
"01/27/2021","3,744.25","3,845.25","3,853.00","3,706.50","2.57M","-2.56%"
"01/26/2021","3,842.50","3,845.00","3,862.25","3,821.50","1.17M","-0.16%"
"01/25/2021","3,848.50","3,835.50","3,853.25","3,788.50","1.76M","0.37%"
"01/22/2021","3,834.25","3,846.75","3,849.00","3,813.25","1.19M","-0.31%"
"01/21/2021","3,846.00","3,841.50","3,859.75","3,836.50","1.07M","0.03%"
"01/20/2021","3,845.00","3,796.75","3,852.50","3,788.50","1.25M","1.44%"
"01/19/2021","3,790.50","3,750.00","3,797.00","3,740.50","1.32M","0.46%"
"01/18/2021","3,773.12","3,749.38","3,773.38","3,743.00","","0.62%"
"01/17/2021","3,750.00","3,745.38","3,759.88","3,745.38","","-0.33%"
"01/15/2021","3,762.25","3,793.00","3,797.75","3,741.50","1.78M","-0.76%"
"01/14/2021","3,791.25","3,808.50","3,817.75","3,786.25","1.17M","-0.33%"
"01/13/2021","3,803.75","3,792.00","3,813.50","3,776.50","1.05M","0.24%"
"01/12/2021","3,794.50","3,794.25","3,806.75","3,768.00","1.22M","0.07%"
"01/11/2021","3,792.00","3,815.50","3,820.75","3,776.50","1.29M","-0.67%"
"01/08/2021","3,817.50","3,797.75","3,824.50","3,775.00","1.62M","0.58%"
"01/07/2021","3,795.50","3,752.50","3,804.00","3,742.00","1.30M","1.47%"
"01/06/2021","3,740.50","3,717.50","3,774.75","3,685.50","2.13M","0.60%"
"01/05/2021","3,718.25","3,695.00","3,730.00","3,673.25","1.41M","0.70%"
"01/04/2021","3,692.25","3,748.75","3,773.25","3,652.50","2.04M","-1.51%"
"01/01/2021","3,748.75","3,748.75","3,748.75","3,748.75","","0.00%"
"12/31/2020","3,748.75","3,725.00","3,753.00","3,715.00","993.34K","0.66%"
"12/30/2020","3,724.25","3,724.50","3,738.25","3,716.50","770.00K","0.11%"
"12/29/2020","3,720.00","3,731.00","3,747.75","3,714.50","992.64K","-0.20%"
"12/28/2020","3,727.50","3,682.00","3,732.25","3,676.00","760.65K","0.88%"
"12/24/2020","3,695.00","3,685.25","3,696.00","3,678.50","369.65K","0.37%"
"12/23/2020","3,681.50","3,674.25","3,701.75","3,651.00","1.02M","0.12%"
"12/22/2020","3,677.25","3,685.00","3,695.00","3,663.75","1.10M","-0.23%"
"12/21/2020","3,685.75","3,718.25","3,724.00","3,596.00","1.84M","-1.09%"
"12/18/2020","3,726.25","3,721.50","3,733.25","3,707.75","31.89K","0.13%"
"12/17/2020","3,721.25","3,704.50","3,724.75","3,699.50","292.92K","0.55%"
"12/16/2020","3,700.75","3,697.75","3,711.50","3,687.00","584.71K","0.17%"
"12/15/2020","3,694.50","3,653.00","3,695.75","3,642.75","1.03M","1.32%"
"12/14/2020","3,646.50","3,677.75","3,698.00","3,642.75","1.49M","-0.40%"
"12/11/2020","3,661.25","3,670.00","3,674.75","3,628.25","1.54M","-0.20%"
"12/10/2020","3,668.50","3,669.50","3,681.25","3,644.00","1.60M","-0.11%"
"12/09/2020","3,672.50","3,707.75","3,714.75","3,659.50","1.79M","-0.80%"
"12/08/2020","3,702.00","3,682.75","3,708.00","3,664.25","1.12M","0.30%"
"12/07/2020","3,690.75","3,694.75","3,705.00","3,672.25","1.08M","-0.20%"
"12/04/2020","3,698.00","3,668.25","3,700.00","3,665.50","991.86K","0.91%"
"12/03/2020","3,664.50","3,671.00","3,682.00","3,655.25","1.12M","-0.07%"
"12/02/2020","3,667.25","3,661.25","3,672.75","3,642.25","1.11M","0.18%"
"12/01/2020","3,660.50","3,631.00","3,677.50","3,626.00","1.37M","1.03%"
"11/30/2020","3,623.25","3,643.75","3,652.00","3,592.25","1.71M","-0.36%"
"11/27/2020","3,636.50","3,630.25","3,642.75","3,612.75","639.27K","0.43%"
"11/26/2020","3,620.75","3,631.62","3,638.62","3,614.12","","-0.18%"
"11/25/2020","3,627.25","3,635.50","3,655.00","3,615.25","1.02M","-0.15%"
"11/24/2020","3,632.75","3,576.00","3,640.00","3,575.25","1.29M","1.59%"
"11/23/2020","3,576.00","3,546.50","3,588.00","3,545.50","1.20M","0.61%"
"11/20/2020","3,554.25","3,560.00","3,582.50","3,542.75","1.19M","-0.72%"
"11/19/2020","3,580.00","3,562.00","3,582.75","3,542.25","1.29M","0.42%"
"11/18/2020","3,565.00","3,604.50","3,623.25","3,556.50","1.33M","-1.16%"
"11/17/2020","3,606.75","3,625.50","3,630.00","3,584.25","1.27M","-0.45%"
"11/16/2020","3,623.00","3,587.00","3,637.00","3,586.50","1.30M","1.14%"
"11/13/2020","3,582.00","3,537.50","3,590.00","3,518.00","1.33M","1.40%"
"11/12/2020","3,532.50","3,574.50","3,574.50","3,513.00","1.69M","-0.99%"
"11/11/2020","3,568.00","3,546.25","3,576.75","3,531.00","1.32M","0.76%"
"11/10/2020","3,541.00","3,549.50","3,562.75","3,506.50","2.16M","-0.08%"
"11/09/2020","3,544.00","3,522.50","3,668.00","3,515.75","2.61M","1.24%"
"11/06/2020","3,500.75","3,508.75","3,519.00","3,456.75","1.64M","-0.11%"
"11/05/2020","3,504.75","3,448.00","3,522.50","3,428.25","1.67M","2.03%"
"11/04/2020","3,435.00","3,362.75","3,480.00","3,319.00","2.81M","2.19%"
"11/03/2020","3,361.50","3,304.00","3,382.75","3,301.25","1.66M","1.85%"
"11/02/2020","3,300.50","3,260.00","3,323.50","3,243.25","1.85M","1.10%"
"10/30/2020","3,264.75","3,268.00","3,296.25","3,225.00","2.49M","-1.14%"
"10/29/2020","3,302.25","3,279.00","3,333.75","3,250.25","1.97M","1.19%"
"10/28/2020","3,263.50","3,369.00","3,370.25","3,260.75","2.63M","-3.53%"
"10/27/2020","3,383.00","3,394.25","3,410.00","3,368.25","1.57M","-0.31%"
"10/26/2020","3,393.50","3,445.75","3,446.25","3,356.00","1.96M","-1.69%"
"10/23/2020","3,451.75","3,455.75","3,462.50","3,431.50","1.22M","0.07%"
"10/22/2020","3,449.25","3,430.25","3,453.00","3,402.50","1.50M","0.49%"
"10/21/2020","3,432.50","3,437.00","3,458.00","3,420.50","1.68M","0.01%"
"10/20/2020","3,432.25","3,436.00","3,469.75","3,418.75","1.70M","0.28%"
"10/19/2020","3,422.75","3,471.00","3,496.50","3,410.75","1.65M","-1.14%"
"10/16/2020","3,462.25","3,478.50","3,508.50","3,461.25","1.40M","-0.38%"
"10/15/2020","3,475.50","3,479.25","3,486.50","3,431.50","1.65M","-0.16%"
"10/14/2020","3,481.00","3,502.00","3,524.00","3,472.00","1.54M","-0.68%"
"10/13/2020","3,504.75","3,534.00","3,535.75","3,491.50","1.62M","-0.79%"
"10/12/2020","3,532.75","3,467.50","3,541.00","3,464.25","1.40M","1.71%"
"10/09/2020","3,473.25","3,447.25","3,480.00","3,445.25","1.19M","1.04%"
"10/08/2020","3,437.50","3,406.25","3,447.25","3,405.50","1.10M","0.90%"
